Auteur,identifiant cfr,prénom,nom,libellé,année de naissance,année de décès,uri
Jean Racine,933,,,Jean Racine,,,http://data.bnf.fr/ark:/12148/cb120076761
Jean-François Cailhava d’Estendoux,935,,,Jean-François Cailhava d’Estendoux,,,http://data.bnf.fr/ark:/12148/cb12146204t
Voltaire,1374,,,Voltaire,,,http://data.bnf.fr/ark:/12148/cb11928669t
M. François-Guillaume Ducray-Duminil,1714,,,M. François-Guillaume Ducray-Duminil,,,http://data.bnf.fr/ark:/12148/cb11998587x
Sauvigny (Edme-Louis Billardon de),4832,Edme-Louis Billardon de,Sauvigny,Sauvigny (Edme-Louis Billardon de),,,http://data.bnf.fr/ark:/12148/cb119963647
Duché de Vancy (Joseph-François),4834,Joseph-François,Duché de Vancy,Duché de Vancy (Joseph-François),,,http://data.bnf.fr/ark:/12148/cb120061276
Dudoyer de Gastels (Gérard),4837,Gérard,Dudoyer de Gastels,Dudoyer de Gastels (Gérard),,,http://data.bnf.fr/ark:/12148/cb126032718
Laignelot (Joseph François),4841,Joseph François,Laignelot,Laignelot (Joseph François),,,http://data.bnf.fr/ark:/12148/cb10631246x
Fallet (Nicolas),4847,Nicolas,Fallet,Fallet (Nicolas),,,http://data.bnf.fr/ark:/12148/cb103511007
Linant (Nicolas-Michel),4848,Nicolas-Michel,Linant,Linant (Nicolas-Michel),,,http://data.bnf.fr/ark:/12148/cb124205436
Ximénès (Augustin-Louis de),4850,Augustin-Louis de,Ximénès,Ximénès (Augustin-Louis de),,,http://data.bnf.fr/ark:/12148/cb12002639m
Colardeau (Charles-Pierre),4868,Charles-Pierre,Colardeau,Colardeau (Charles-Pierre),,,http://data.bnf.fr/ark:/12148/cb118972285
Châteaubrun (Jean-Baptiste Vivien de),4870,Jean-Baptiste Vivien de,Châteaubrun,Châteaubrun (Jean-Baptiste Vivien de),,,http://data.bnf.fr/ark:/12148/cb124622530
Poinsinet de Sivry (Louis),4884,Louis,Poinsinet de Sivry,Poinsinet de Sivry (Louis),,,http://data.bnf.fr/ark:/12148/cb11920112j
Gudin de La Brenellerie (Paul-Philippe),4887,Paul-Philippe,Gudin de La Brenellerie,Gudin de La Brenellerie (Paul-Philippe),,,http://data.bnf.fr/ark:/12148/cb11906110w
Chénier (Marie-Joseph de),4893,Marie-Joseph de,Chénier,Chénier (Marie-Joseph de),,,http://data.bnf.fr/ark:/12148/cb11896531n
Riouffé (Honoré),4900,Honoré,Riouffé,Riouffé (Honoré),,,http://data.bnf.fr/ark:/12148/cb12459596k
Maillet-Duclairon (Antoine),4908,Antoine,Maillet-Duclairon,Maillet-Duclairon (Antoine),,,http://data.bnf.fr/ark:/12148/cb13012786r
Regnard (Jean-François),4909,Jean-François,Regnard,Regnard (Jean-François),,,http://data.bnf.fr/ark:/12148/cb11921388k
Le Franc de Pompignan (Jean-Jacques),4912,Jean-Jacques,Le Franc de Pompignan,Le Franc de Pompignan (Jean-Jacques),,,http://data.bnf.fr/ark:/12148/cb12061916s
Marmontel (Jean-François),4921,Jean-François,Marmontel,Marmontel (Jean-François),,,http://data.bnf.fr/ark:/12148/cb119146538
Chabanon (Michel Paul Guy de),4924,Michel Paul Guy de,Chabanon,Chabanon (Michel Paul Guy de),,,http://data.bnf.fr/ark:/12148/cb12451123b
Rochon de Chabannes (Marc-Antoine-Jacques),4941,Marc-Antoine-Jacques,Rochon de Chabannes,Rochon de Chabannes (Marc-Antoine-Jacques),,,http://data.bnf.fr/ark:/12148/cb120061303
Le Mierre (Antoine-Marin),4947,Antoine-Marin,Le Mierre,Le Mierre (Antoine-Marin),,,http://data.bnf.fr/ark:/12148/cb12127853h
La Grange-Chancel (François-Joseph de),4949,François-Joseph de,La Grange-Chancel,La Grange-Chancel (François-Joseph de),,,http://data.bnf.fr/ark:/12148/cb12086599t
Guimond de La Touche (Claude),4951,Claude,Guimond de La Touche,Guimond de La Touche (Claude),,,http://data.bnf.fr/ark:/12148/cb15092878b
Denon (Dominique-Vivant),4959,Dominique-Vivant,Denon,Denon (Dominique-Vivant),,,http://data.bnf.fr/ark:/12148/cb120321642
Marin (François-Louis-Claude),4960,François-Louis-Claude,Marin,Marin (François-Louis-Claude),,,http://data.bnf.fr/ark:/12148/cb11914585m
